3 1 1 0 0 0 0  1.38318 0.119392 0.614011
1 -1 1 11 0 0 -0.235064 0.173431 1.55885 1.58599 0.0005 -1.44449 2.48135 1.99287 
2 1 1 211 0 0 0.001941 -0.387755 0.105738 0.425462 0.1395 -1.44449 2.48135 1.99287 
3 0 1 2112 0 0 0.233123 0.214324 0.535408 1.12682 0.939 -1.44449 2.48135 1.99287 
3 1 1 0 0 0 0  1.22553 0.406916 0.548077
1 -1 1 11 0 0 0.218741 0.499142 1.55944 1.65192 0.0005 1.13741 -0.417517 9.01479 
2 1 1 211 0 0 -0.0317282 -0.238605 0.359389 0.45451 0.1395 1.13741 -0.417517 9.01479 
3 0 1 2112 0 0 -0.187013 -0.260536 0.281169 1.03184 0.939 1.13741 -0.417517 9.01479 
3 1 1 0 0 0 0  1.18467 0.169552 0.369099
1 -1 1 11 0 0 0.363574 0.0862231 1.79237 1.8309 0.0005 -0.348182 1.58238 2.54825 
2 1 1 211 0 0 -0.00519964 -0.126993 0.208833 0.281506 0.1395 -0.348182 1.58238 2.54825 
3 0 1 2112 0 0 -0.358375 0.0407702 0.1988 1.02587 0.939 -0.348182 1.58238 2.54825 
3 1 1 0 0 0 0  1.10503 0.113325 0.241967
1 -1 1 11 0 0 -0.203357 0.242577 1.93228 1.95803 0.0005 0.402836 -0.950248 6.01807 
2 1 1 211 0 0 0.0378292 -0.0295895 -0.0443354 0.154117 0.1395 0.402836 -0.950248 6.01807 
3 0 1 2112 0 0 0.165528 -0.212987 0.312058 1.02612 0.939 0.402836 -0.950248 6.01807 
3 1 1 0 0 0 0  1.18173 0.159717 0.360154
1 -1 1 11 0 0 -0.312228 0.186459 1.80355 1.83985 0.0005 1.03385 1.64333 7.02664 
2 1 1 211 0 0 0.161945 -0.180936 0.139072 0.312706 0.1395 1.03385 1.64333 7.02664 
3 0 1 2112 0 0 0.150283 -0.00552248 0.257381 0.98572 0.939 1.03385 1.64333 7.02664 
3 1 1 0 0 0 0  1.46842 0.142985 0.756112
1 -1 1 11 0 0 0.299062 -0.0578678 1.41139 1.44389 0.0005 -0.11609 2.60441 6.63132 
2 1 1 211 0 0 -0.335462 0.352415 0.352742 0.616958 0.1395 -0.11609 2.60441 6.63132 
3 0 1 2112 0 0 0.0363997 -0.294548 0.435867 1.07743 0.939 -0.11609 2.60441 6.63132 
3 1 1 0 0 0 0  1.45215 0.35854 0.845666
1 -1 1 11 0 0 0.444049 0.130001 1.27285 1.35433 0.0005 -1.32828 1.34976 4.1018 
2 1 1 211 0 0 -0.0590663 -0.411511 0.114364 0.453199 0.1395 -1.32828 1.34976 4.1018 
