3	1	1	0	0	11	2.2	2212	0	0.80382	
1	0	1	2112	0	0	0.380053	-0.494406	0.879114	1.42986	0.93957	0.069775	-2.31539	-0.0510778	
2	0	1	211	0	0	-0.249229	0.746121	0.944356	1.23697	0.13957	0.069775	-2.31539	-0.0510778	
3	0	1	11	0	0	-0.130824	-0.251714	0.37653	0.471434	0.000511	0.069775	-2.31539	-0.0510778	
4	1	1	0	0	11	2.2	2212	0	0.694561	
1	0	1	2112	0	0	-0.362836	0.307932	0.847542	1.35188	0.93957	1.8499	-0.755096	1.14028	
2	0	1	211	0	0	0.286035	-0.543034	0.742254	0.973202	0.13957	1.8499	-0.755096	1.14028	
3	0	1	11	0	0	0.0880896	0.269657	0.37653	0.471434	0.000511	1.8499	-0.755096	1.14028	
4	0	1	22	0	0	0.00721441	-0.00693907	0.527014	0.527109	0	1.8499	-0.755096	1.14028	
4	1	1	0	0	11	2.2	2212	0	0.249091	
1	0	1	2112	0	0	-0.773693	-0.191042	0.932342	1.54504	0.93957	2.41515	0.130575	-2.86518	
2	0	1	211	0	0	0.98798	-0.0587358	1.18308	1.54878	0.13957	2.41515	0.130575	-2.86518	
3	0	1	11	0	0	-0.184713	0.215305	0.37653	0.471434	0.000511	2.41515	0.130575	-2.86518	
4	0	1	22	0	0	0.240718	-0.100926	0.383705	0.46407	0	2.41515	0.130575	-2.86518	
3	1	1	0	0	11	2.2	2212	0	0.795502	
1	0	1	2112	0	0	0.087246	0.526597	0.969989	1.4521	0.93957	-1.55556	1.25428	-2.46911	
2	0	1	211	0	0	-0.401679	-0.650766	0.643313	1.00905	0.13957	-1.55556	1.25428	-2.46911	
3	0	1	11	0	0	0.314433	0.124169	0.586698	0.677126	0.000511	-1.55556	1.25428	-2.46911	
4	1	1	0	0	11	2.2	2212	0	0.534537	
1	0	1	2112	0	0	0.372372	0.0162872	0.900833	1.35396	0.93957	-0.755072	2.21607	-0.199852	
